Chr	Position	ModStatus	Status
18s	1	Unm	Unm
18s	2	Unm	Unm
18s	3	Unm	Unm
18s	4	Unm	Unm
18s	5	Unm	Unm
18s	6	Unm	Unm
18s	7	Unm	Unm
18s	8	Unm	Unm
18s	9	Unm	Unm
18s	10	Unm	Unm
18s	11	Unm	Unm
18s	12	Unm	Unm
18s	13	Unm	Unm
18s	14	Unm	Unm
18s	15	Unm	Unm
18s	16	Unm	Unm
18s	17	Unm	Unm
18s	18	Unm	Unm
18s	19	Unm	Unm
18s	20	Unm	Unm
18s	21	Unm	Unm
18s	22	Unm	Unm
18s	23	Unm	Unm
18s	24	Unm	Unm
18s	25	Unm	Unm
18s	26	Unm	NA
18s	27	Unm	NA
18s	28	Am	Am
18s	29	Unm	NA
18s	30	Unm	NA
18s	31	Unm	Unm
18s	32	Unm	Unm
18s	33	Unm	Unm
18s	34	Unm	Unm
18s	35	Unm	Unm
18s	36	Unm	Unm
18s	37	Unm	Unm
18s	38	Unm	Unm
18s	39	Unm	Unm
18s	40	Unm	Unm
18s	41	Unm	Unm
18s	42	Unm	Unm
18s	43	Unm	Unm
18s	44	Unm	Unm
18s	45	Unm	Unm
18s	46	Unm	Unm
18s	47	Unm	Unm
18s	48	Unm	Unm
18s	49	Unm	Unm
18s	50	Unm	Unm
18s	51	Unm	Unm
18s	52	Unm	Unm
18s	53	Unm	Unm
18s	54	Unm	Unm
18s	55	Unm	Unm
18s	56	Unm	Unm
18s	57	Unm	Unm
18s	58	Unm	Unm
18s	59	Unm	Unm
18s	60	Unm	Unm
18s	61	Unm	Unm
18s	62	Unm	Unm
18s	63	Unm	Unm
18s	64	Unm	Unm
18s	65	Unm	Unm
18s	66	Unm	Unm
18s	67	Unm	Unm
18s	68	Unm	Unm
18s	69	Unm	Unm
18s	70	Unm	Unm
18s	71	Unm	Unm
18s	72	Unm	Unm
18s	73	Unm	Unm
18s	74	Unm	Unm
18s	75	Unm	Unm
18s	76	Unm	Unm
18s	77	Unm	Unm
18s	78	Unm	Unm
18s	79	Unm	Unm
18s	80	Unm	Unm
18s	81	Unm	Unm
18s	82	Unm	Unm
18s	83	Unm	Unm
18s	84	Unm	Unm
18s	85	Unm	Unm
18s	86	Unm	Unm
18s	87	Unm	Unm
18s	88	Unm	Unm
18s	89	Unm	Unm
18s	90	Unm	Unm
18s	91	Unm	Unm
18s	92	Unm	Unm
18s	93	Unm	Unm
18s	94	Unm	Unm
18s	95	Unm	Unm
18s	96	Unm	Unm
18s	97	Unm	Unm
18s	98	Unm	NA
18s	99	Unm	NA
18s	100	Am	Am
18s	101	Unm	NA
18s	102	Unm	NA
18s	103	Unm	Unm
18s	104	Unm	NA
18s	105	Unm	NA
18s	106	Y	Y
18s	107	Unm	NA
18s	108	Unm	NA
18s	109	Unm	Unm
18s	110	Unm	Unm
18s	111	Unm	Unm
18s	112	Unm	Unm
18s	113	Unm	Unm
18s	114	Unm	Unm
18s	115	Unm	Unm
18s	116	Unm	Unm
18s	117	Unm	Unm
18s	118	Unm	NA
18s	119	Unm	NA
18s	120	Y	Y
18s	121	Unm	NA
18s	122	Unm	NA
18s	123	Unm	Unm
18s	124	Unm	Unm
18s	125	Unm	Unm
18s	126	Unm	Unm
18s	127	Unm	Unm
18s	128	Unm	Unm
18s	129	Unm	Unm
18s	130	Unm	Unm
18s	131	Unm	Unm
18s	132	Unm	Unm
18s	133	Unm	Unm
18s	134	Unm	Unm
18s	135	Unm	Unm
18s	136	Unm	Unm
18s	137	Unm	Unm
18s	138	Unm	Unm
18s	139	Unm	Unm
18s	140	Unm	Unm
18s	141	Unm	Unm
18s	142	Unm	Unm
18s	143	Unm	Unm
18s	144	Unm	Unm
18s	145	Unm	Unm
18s	146	Unm	Unm
18s	147	Unm	Unm
18s	148	Unm	Unm
18s	149	Unm	Unm
18s	150	Unm	Unm
18s	151	Unm	Unm
18s	152	Unm	Unm
18s	153	Unm	Unm
18s	154	Unm	Unm
18s	155	Unm	Unm
18s	156	Unm	Unm
18s	157	Unm	Unm
18s	158	Unm	Unm
18s	159	Unm	Unm
18s	160	Unm	Unm
18s	161	Unm	Unm
18s	162	Unm	Unm
18s	163	Unm	Unm
18s	164	Unm	Unm
18s	165	Unm	Unm
18s	166	Unm	Unm
18s	167	Unm	Unm
18s	168	Unm	Unm
18s	169	Unm	Unm
18s	170	Unm	Unm
18s	171	Unm	Unm
18s	172	Unm	Unm
18s	173	Unm	Unm
18s	174	Unm	Unm
18s	175	Unm	Unm
18s	176	Unm	Unm
18s	177	Unm	Unm
18s	178	Unm	Unm
18s	179	Unm	Unm
